"","eventcode","LastName","FirstName","Age","Gender","eventtype","agegroup","entrytime","final_time","finallane","place"
"1","D02NE      ","Acton"," Gwen Z               ","46","FF"," 4005","UNOV03272010"," 7:15.00Y","          6:55.24Y"," 5","  6"
"2","D02NE      ","Amorim"," Fabio C             ","31","MM","  503","UNOV03262010","   29.09Y","            31.08Y"," 4"," 12"
"3","D02NE      ","Amorim"," Fabio C             ","31","MM"," 1005","UNOV03262010","   59.64Y","          1:02.57Y"," 5"," 15"
"4","D02NE      ","Balles"," Kathy M             ","46","FF","  501","UNOV03262010","   45.00Y","            39.08Y"," 5"," 26"
"5","D02NE      ","Balles"," Kathy M             ","46","FF"," 2004","UNOV03262010"," 4:30.00Y","          4:26.35Y"," 5","  7"
"6","D02NE      ","Balles"," Kathy M             ","46","FF"," 1005","UNOV03262010"," 1:58.00Y","          1:46.21Y"," 6"," 26"
"7","D02NE      ","Balles"," Kathy M             ","46","FF"," 4005","UNOV03272010"," 8:30.00Y","          8:26.92Y"," 6"," 12"
"8","D02NE      ","Balles"," Kathy M             ","46","FF","  504","UNOV03272010","   50.00Y","            48.04Y"," 1"," 24"
"9","D02NE      ","Barlow"," Jennifer            ","44","FF","10001","UNOV03202010","17:34.00Y","         16:58.81Y"," 4","  8"
"10","D02NE      ","Barlow"," Jennifer            ","44","FF"," 1002","UNOV03262010"," 2:00.00Y","          1:33.16Y"," 4"," 13"
"11","D02NE      ","Barlow"," Jennifer            ","44","FF","  501","UNOV03262010","   36.00Y","            33.64Y"," 7"," 17"
"12","D02NE      ","Barlow"," Jennifer            ","44","FF"," 1005","UNOV03262010"," 1:35.00Y","          1:28.92Y"," 4"," 19"
"13","D02NE      ","Barlow"," Jennifer            ","44","FF","  502","UNOV03282010","   45.00Y","            41.61Y"," 7"," 12"
"14","D02NE      ","Barlow"," Jennifer            ","44","FF"," 1001","UNOV03282010"," 1:23.00Y","          1:12.92Y"," 5"," 14"
"15","D02NE      ","Baxter"," David C             ","65","MM","16501","UNOV03202010","26:30.00Y","         26:57.57Y"," 5","  2"
"16","D02NE      ","Baxter"," David C             ","65","MM"," 1002","UNOV03262010"," 1:37.00Y","          1:43.25Y"," 6"," 10"
"17","D02NE      ","Baxter"," David C             ","65","MM","  501","UNOV03262010","   29.99Y","            30.85Y"," 3","  9"
"18","D02NE      ","Baxter"," David C             ","65","MM"," 2004","UNOV03262010"," 3:50.00Y","          3:45.73Y"," 1","  4"
"19","D02NE      ","Baxter"," David C             ","65","MM","  503","UNOV03262010","   44.00Y","            43.52Y"," 1","  4"
"20","D02NE      ","Baxter"," David C             ","65","MM"," 4005","UNOV03272010"," 7:20.00Y","               DQY"," 5","  0"
"21","D02NE      ","Baxter"," David C             ","65","MM","  504","UNOV03272010","   38.00Y","            37.37Y"," 7","  6"
"22","D02NE      ","Baxter"," David C             ","65","MM"," 2002","UNOV03272010"," 3:41.00Y","          3:49.41Y"," 3","  8"
"23","D02NE      ","Baxter"," David C             ","65","MM"," 1003","UNOV03272010"," 1:44.00Y","          1:36.10Y"," 6","  2"
"24","D02NE      ","Baxter"," David C             ","65","MM"," 2005","UNOV03282010"," 3:10.00Y","          3:13.30Y"," 6","  5"
"25","D02NE      ","Baxter"," David C             ","65","MM"," 1004","UNOV03282010"," 1:40.00Y","          1:35.53Y"," 1","  3"
"26","D02NE      ","Baxter"," David C             ","65","MM","  502","UNOV03282010","   44.00Y","            44.30Y"," 7","  6"
"27","D02NE      ","Baxter"," David C             ","65","MM"," 2003","UNOV03282010"," 3:44.00Y","          3:33.01Y"," 3","  3"
"28","D02NE      ","Belletete"," Steve            ","43","MM"," 1002","UNOV03262010"," 1:09.40Y","          1:07.39Y"," 6"," 16"
"29","D02NE      ","Belletete"," Steve            ","43","MM","  501","UNOV03262010","   26.60Y","            26.76Y"," 1"," 21"
"30","D02NE      ","Belletete"," Steve            ","43","MM","  503","UNOV03262010","   35.40Y","            34.84Y"," 3"," 17"
"31","D02NE      ","Belletete"," Steve            ","43","MM"," 1005","UNOV03262010"," 1:08.44Y","          1:07.36Y"," 8"," 22"
"32","D02NE      ","Belletete"," Steve            ","43","MM"," 2001","UNOV03272010"," 2:10.93Y","          2:07.17Y"," 2"," 15"
"33","D02NE      ","Belletete"," Steve            ","43","MM"," 2002","UNOV03272010"," 2:32.92Y","          2:32.23Y"," 6"," 11"
"34","D02NE      ","Belletete"," Steve            ","43","MM"," 2005","UNOV03282010"," 2:30.82Y","          2:26.91Y"," 7"," 11"
"35","D02NE      ","Belletete"," Steve            ","43","MM","  502","UNOV03282010","   31.31Y","            31.57Y"," 8"," 13"
"36","D02NE      ","Belletete"," Steve            ","43","MM"," 1001","UNOV03282010","   58.24Y","            57.10Y"," 5"," 13"
"37","D02NE      ","Bird"," Tracey S              ","47","FF","  503","UNOV03262010","   39.50Y","            39.76Y"," 6"," 10"
"38","D02NE      ","Bird"," Tracey S              ","47","FF"," 1005","UNOV03262010"," 1:19.00Y","          1:20.14Y"," 8"," 17"
"39","D02NE      ","Bird"," Tracey S              ","47","FF","  504","UNOV03272010","   33.50Y","            33.18Y"," 7"," 12"
"40","D02NE      ","Bird"," Tracey S              ","47","FF"," 1003","UNOV03272010"," 1:26.00Y","          1:23.08Y"," 4","  5"
"41","D02NE      ","Bird"," Tracey S              ","47","FF"," 2003","UNOV03282010"," 3:07.00Y","          3:04.90Y"," 5","  3"
"42","D02NE      ","Boucher"," Ilene              ","29","FF"," 4005","UNOV03272010"," 7:50.00Y","          7:16.04Y"," 2"," 17"
"43","D02NE      ","Boucher"," Ilene              ","29","FF"," 2005","UNOV03282010"," 3:34.55Y","          3:19.31Y"," 7"," 21"
"44","D02NE      ","Boucher"," Ilene              ","29","FF"," 1004","UNOV03282010"," 1:37.85Y","          1:38.38Y"," 1"," 20"
"45","D02NE      ","Boucher"," Ilene              ","29","FF","  502","UNOV03282010","   56.52Y","            47.62Y"," 6"," 22"
"46","D02NE      ","Boucher"," Ilene              ","29","FF"," 1001","UNOV03282010"," 1:15.15Y","          1:15.77Y"," 1"," 26"
